"","recording_name","site","date","time","treatment","total_song_count","number_of_individuals","mean_singing_rate"
"68","1296-NE 2023-05-21","1296-NE","2023-05-21","05:55:00","smoky",2,2,1
"69","1296-NW 2023-05-21","1296-NW","2023-05-21","05:55:00","smoky",10,3,3.33
"70","1296-NW 2023-05-24","1296-NW","2023-05-24","05:51:00","non-smoky",5,1,5
"71","1324-NE 2023-05-21","1324-NE","2023-05-21","05:55:00","smoky",2,1,2
"72","1324-NE 2023-05-24","1324-NE","2023-05-24","05:51:00","non-smoky",3,1,3
"73","1324-NW 2023-05-21","1324-NW","2023-05-21","05:55:00","smoky",6,2,3
"74","1324-NW 2023-05-24","1324-NW","2023-05-24","05:51:00","non-smoky",6,3,2
"75","1324-SE 2023-05-15","1324-SE","2023-05-15","06:05:00","non-smoky",10,2,5
"76","1324-SE 2023-05-21","1324-SE","2023-05-21","05:55:00","smoky",11,3,3.67
"77","1324-SW 2023-05-15","1324-SW","2023-05-15","06:05:00","non-smoky",6,1,6
"78","1324-SW 2023-05-21","1324-SW","2023-05-21","05:55:00","smoky",8,2,4
"79","FHP-G-308H22 2023-06-11","FHP-G-308H22","2023-06-11","05:54:00","smoky",2,2,1
"80","FHP-G-308H22 2023-06-13","FHP-G-308H22","2023-06-13","05:54:00","non-smoky",6,1,6
"81","FHP-G-309F22 2023-06-11","FHP-G-309F22","2023-06-11","05:54:00","smoky",0,0,0
"82","FHP-G-309F22 2023-06-13","FHP-G-309F22","2023-06-13","05:54:00","non-smoky",3,1,3
"83","FHP-G-309L22 2023-06-11","FHP-G-309L22","2023-06-11","05:54:00","smoky",1,1,1
"84","FHP-G-309L22 2023-06-13","FHP-G-309L22","2023-06-13","05:54:00","non-smoky",1,1,1
"85","FHP-S-3110O22 2023-06-09","FHP-S-3110O22","2023-06-09","05:55:00","non-smoky",3,1,3
"86","FHP-S-3110O22 2023-06-11","FHP-S-3110O22","2023-06-11","05:54:00","smoky",0,0,0
"87","FHP-S-318H22 2023-06-09","FHP-S-318H22","2023-06-09","05:55:00","non-smoky",8,2,4
"88","FHP-S-318H22 2023-06-11","FHP-S-318H22","2023-06-11","05:54:00","smoky",1,1,1
