ID,lat,long
1,53.95693,-114.1982
2,53.95163,-113.9085
3,53.81458,-114.2355
4,53.77994,-113.9376
5,52.83985,-115.7156
6,52.81174,-115.1207
7,52.65434,-115.7667
8,52.64945,-115.4535
9,52.61047,-115.1265
10,52.48833,-115.7924
11,52.43715,-115.4954
12,52.42188,-115.2506
13,52.28045,-115.5696
14,51.61665,-115.0475
15,51.61331,-115.2091
16,51.57035,-115.1771
17,51.68295,-115.3273
18,51.66175,-115.0696
