"","recording_name","location","total_abundance","unique_order_count","mean_singing_rate"
"105","FHP-G-309L22 2023-06-11","FHP-G-309L22",1,1,1
"106","FHP-G-309L22 2023-06-13","FHP-G-309L22",1,1,1
"107","FHP-G-309O22 2023-06-11","FHP-G-309O22",0,0,0
"108","FHP-G-309O22 2023-06-13","FHP-G-309O22",0,0,0
"109","FHP-S-3110H22 2023-06-09","FHP-S-3110H22",0,0,0
"110","FHP-S-3110H22 2023-06-11","FHP-S-3110H22",0,0,0
"111","FHP-S-3110L22 2023-06-11","FHP-S-3110L22",0,0,0
"112","FHP-S-3110L22 2023-06-13","FHP-S-3110L22",0,0,0
"113","FHP-S-3110O22 2023-06-09","FHP-S-3110O22",3,1,3
"114","FHP-S-3110O22 2023-06-11","FHP-S-3110O22",0,0,0
"115","FHP-S-318H22 2023-06-09","FHP-S-318H22",8,2,4
"116","FHP-S-318H22 2023-06-11","FHP-S-318H22",1,1,1
"117","FHP-S-318L22 2023-06-11","FHP-S-318L22",0,0,0
"118","FHP-S-318L22 2023-06-13","FHP-S-318L22",0,0,0
"119","FHP-S-318R22 2023-06-11","FHP-S-318R22",0,0,0
"120","FHP-S-318R22 2023-06-13","FHP-S-318R22",0,0,0
"121","FHP-S-319H22 2023-06-09","FHP-S-319H22",0,0,0
"122","FHP-S-319H22 2023-06-11","FHP-S-319H22",0,0,0
"123","FHP-S-319L22 2023-06-09","FHP-S-319L22",0,0,0
"124","FHP-S-319L22 2023-06-11","FHP-S-319L22",0,0,0
"125","FHP-S-319O22 2023-06-09","FHP-S-319O22",0,0,0
"126","FHP-S-319O22 2023-06-11","FHP-S-319O22",0,0,0
