"","X","recording_name","date","ARU","total_song_count","num_WTSP","mean_singing_rate","site","quadrant","treatment_name","treatment","julian_date","date_code"
"55",59,"1294-SE 2023-05-21",2023-05-21,"1294-SE",0,0,0,"1294","SE","smoky",0,141,1
"56",60,"1294-SE 2023-05-24",2023-05-24,"1294-SE",1,1,1,"1294","SE","non-smoky",1,144,2
"57",61,"1294-SW 2023-05-15",2023-05-15,"1294-SW",3,1,3,"1294","SW","non-smoky",1,135,0
"58",62,"1294-SW 2023-05-21",2023-05-21,"1294-SW",0,0,0,"1294","SW","smoky",0,141,1
"59",63,"1295-NE 2023-05-15",2023-05-15,"1295-NE",12,2,6,"1295","NE","non-smoky",1,135,0
"60",64,"1295-NE 2023-05-21",2023-05-21,"1295-NE",13,4,3.25,"1295","NE","smoky",0,141,1
"61",65,"1295-NW 2023-05-21",2023-05-21,"1295-NW",28,6,4.67,"1295","NW","smoky",0,141,1
"62",66,"1295-NW 2023-05-24",2023-05-24,"1295-NW",19,4,4.75,"1295","NW","non-smoky",1,144,2
"63",67,"1295-SE 2023-05-15",2023-05-15,"1295-SE",17,5,3.4,"1295","SE","non-smoky",1,135,0
"64",68,"1295-SE 2023-05-21",2023-05-21,"1295-SE",15,4,3.75,"1295","SE","smoky",0,141,1
"65",69,"1295-SW 2023-05-15",2023-05-15,"1295-SW",2,1,2,"1295","SW","non-smoky",1,135,0
"66",70,"1295-SW 2023-05-21",2023-05-21,"1295-SW",9,3,3,"1295","SW","smoky",0,141,1
"67",71,"1296-NE 2023-05-15",2023-05-15,"1296-NE",3,1,3,"1296","NE","non-smoky",1,135,0
"68",72,"1296-NE 2023-05-21",2023-05-21,"1296-NE",2,2,1,"1296","NE","smoky",0,141,1
"69",73,"1296-NW 2023-05-21",2023-05-21,"1296-NW",10,3,3.33,"1296","NW","smoky",0,141,1
"70",74,"1296-NW 2023-05-24",2023-05-24,"1296-NW",5,1,5,"1296","NW","non-smoky",1,144,2
"71",77,"1324-NE 2023-05-21",2023-05-21,"1324-NE",2,1,2,"1324","NE","smoky",0,141,1
"72",78,"1324-NE 2023-05-24",2023-05-24,"1324-NE",3,1,3,"1324","NE","non-smoky",1,144,2
"73",79,"1324-NW 2023-05-21",2023-05-21,"1324-NW",6,2,3,"1324","NW","smoky",0,141,1
"74",80,"1324-NW 2023-05-24",2023-05-24,"1324-NW",6,3,2,"1324","NW","non-smoky",1,144,2
"75",81,"1324-SE 2023-05-15",2023-05-15,"1324-SE",10,2,5,"1324","SE","non-smoky",1,135,0
"76",82,"1324-SE 2023-05-21",2023-05-21,"1324-SE",11,3,3.67,"1324","SE","smoky",0,141,1
"77",83,"1324-SW 2023-05-15",2023-05-15,"1324-SW",6,1,6,"1324","SW","non-smoky",1,135,0
"78",84,"1324-SW 2023-05-21",2023-05-21,"1324-SW",8,2,4,"1324","SW","smoky",0,141,1
"79",101,"FHP-G-308H22 2023-06-11",2023-06-11,"FHP-G-308H22",2,2,1,"FHP-G-308H22","","smoky",0,162,1
"80",102,"FHP-G-308H22 2023-06-13",2023-06-13,"FHP-G-308H22",6,1,6,"FHP-G-308H22","","non-smoky",1,164,2
"81",103,"FHP-G-309F22 2023-06-11",2023-06-11,"FHP-G-309F22",0,0,0,"FHP-G-309F22","","smoky",0,162,1
"82",104,"FHP-G-309F22 2023-06-13",2023-06-13,"FHP-G-309F22",3,1,3,"FHP-G-309F22","","non-smoky",1,164,2
"83",105,"FHP-G-309L22 2023-06-11",2023-06-11,"FHP-G-309L22",1,1,1,"FHP-G-309L22","","smoky",0,162,1
"84",106,"FHP-G-309L22 2023-06-13",2023-06-13,"FHP-G-309L22",1,1,1,"FHP-G-309L22","","non-smoky",1,164,2
"85",113,"FHP-S-3110O22 2023-06-09",2023-06-09,"FHP-S-3110O22",3,1,3,"FHP-S-3110O22","","non-smoky",1,160,0
"86",114,"FHP-S-3110O22 2023-06-11",2023-06-11,"FHP-S-3110O22",0,0,0,"FHP-S-3110O22","","smoky",0,162,1
"87",115,"FHP-S-318H22 2023-06-09",2023-06-09,"FHP-S-318H22",8,2,4,"FHP-S-318H22","","non-smoky",1,160,0
"88",116,"FHP-S-318H22 2023-06-11",2023-06-11,"FHP-S-318H22",1,1,1,"FHP-S-318H22","","smoky",0,162,1
