organization,location,location_id,location_buffer_m,latitude,longitude,elevation,location_visibility,location_comments
BU,MPB-S5-907,485371,,52.773467,-118.000035,,Visible,
BU,MPB-B5-561,485372,,55.664840,-114.605860,,Visible,
BU,MPB-H1-904,485373,,52.878374,-118.115179,,Visible,
BU,MPB-S5-910,485374,,52.747953,-117.957590,,Visible,
BU,MPB-H10-121,485375,,49.347610,-114.140300,,Visible,
BU,MPB-S5-962,485721,,52.674130,-117.886460,,Visible,
BU,MPB-S5-961,485722,,52.740520,-117.947110,,Visible,
BU,MPB-S5-957,485723,,52.777880,-118.007020,,Visible,
BU,MPB-B5-206,485724,,49.019340,-114.048380,,Visible,
BU,MPB-S5-903,485725,,52.876110,-118.117439,,Visible,
BU,MPB-B5-201,485726,,49.066350,-114.003080,,Visible,
BU,MPB-S5-965,485727,,52.914630,-118.008520,,Visible,
BU,MPB-B5-920,485728,,52.864488,-117.796932,,Visible,
BU,MPB-S5-953,485729,,52.873710,-118.124030,,Visible,
BU,MPB-S5-964,485730,,52.911780,-117.999010,,Visible,
BU,MPB-S5-967,485731,,52.908700,-117.946470,,Visible,
BU,MPB-S5-958,485732,,52.780560,-118.010130,,Visible,
BU,MPB-S5-960,485733,,52.741790,-117.953360,,Visible,
BU,MPB-S5-966,485734,,52.909850,-117.950810,,Visible,
BU,MPB-B5-969,485735,,52.875940,-117.813890,,Visible,
BU,MPB-S5-959,485736,,52.747510,-117.968440,,Visible,
BU,MPB-S10-952,485737,,52.871360,-118.121150,,Visible,
BU,MPB-S5-963,485738,,52.718620,-117.934220,,Visible,
BU,MPB-S10-649,485834,,,,,Visible,
BU,MPB-S5-11,490083,,52.921097,-117.988848,,Visible,
BU,MPB-B1-3,490084,,53.150976,-118.030968,,Visible,
BU,MPB-B1-7,490085,,53.127600,-118.042694,,Visible,
BU,MPB-S5-1,490086,,52.909030,-117.966253,,Visible,
BU,MPB-S5-9,490087,,52.889893,-117.997487,,Visible,
BU,MPB-B1-18,490088,,53.058302,-118.121343,,Visible,
BU,MPB-S5-10,490089,,52.886063,-117.991068,,Visible,
BU,MPB-B1-1,490090,,53.168367,-118.036606,,Visible,
BU,MPB-B1-10,490091,,53.102538,-118.061879,,Visible,
BU,MPB-S5-6,490092,,52.910438,-117.938581,,Visible,
BU,MPB-B1-20,490093,,53.026393,-118.106484,,Visible,
BU,MPB-S5-12,490094,,52.953009,-118.055290,,Visible,
BU,MPB-S5-16,490095,,52.889347,-118.044129,,Visible,
BU,MPB-B1-4,490096,,53.158010,-118.040903,,Visible,
BU,MPB-B1-6,490097,,53.125305,-118.037841,,Visible,
BU,MPB-S5-14,490098,,52.920490,-118.065347,,Visible,
BU,MPB-B1-16,490099,,,,,Visible,
BU,MPB-B1-12,490100,,53.096546,-118.060372,,Visible,
BU,MPB-B1-9,490101,,53.118940,-118.035849,,Visible,
BU,MPB-S5-5,490102,,52.912808,-117.994266,,Visible,
BU,MPB-S5-15,490103,,52.907130,-118.017160,,Visible,
BU,MPB-B1-5,490104,,53.151548,-118.041689,,Visible,
BU,MPB-S5-4,490105,,52.734364,-117.962727,,Visible,
BU,MPB-B1-21,490106,,53.076598,-118.098008,,Visible,
BU,MPB-S5-8,490107,,52.906988,-117.925733,,Visible,
BU,MPB-B1-17,490108,,53.040220,-118.136878,,Visible,
BU,MPB-B1-11,490109,,53.100036,-118.059144,,Visible,
BU,MPB-B1-8,490110,,53.121557,-118.042921,,Visible,
BU,MPB-S5-7,490111,,52.908050,-117.990306,,Visible,
BU,MPB-B1-19,490112,,53.028697,-118.104232,,Visible,
BU,MPB-S5-17,490113,,53.159663,-118.057305,,Visible,
BU,MPB-S5-3,490114,,52.913615,-117.925577,,Visible,
BU,MPB-B1-15,490115,,53.060699,-118.114078,,Visible,
BU,MPB-B1-14,490116,,53.084150,-118.092109,,Visible,
BU,MPB-S5-2,490117,,52.914677,-117.936873,,Visible,
BU,MPB-B1-13,490692,,,,,Visible,
