organization,location,location_id,location_buffer_m,latitude,longitude,elevation,location_visibility,location_comments
BU,H-RS-2-12,89460,,49.415660,-114.291466,,Visible,
BU,H-RS-2-11,89461,,49.413080,-114.293205,,Visible,
BU,H-RS-19-91,89462,,55.259640,-113.453411,,Visible,
BU,H-RS-2-10,89466,,49.412810,-114.279936,,Visible,
BU,H-N15-9-41,89568,,53.457550,-115.939332,,Visible,
BU,H-N15-22-44,89586,,56.308910,-116.707675,,Visible,
BU,H-N10-3-24,89601,,49.993790,-114.494687,,Visible,
BU,H-CC-6-47,89644,,52.182680,-115.342509,,Visible,
BU,H-CC-6-33,89645,,52.158290,-115.358930,,Visible,
BU,H-CC-5-57,89646,,51.553510,-115.186517,,Visible,
BU,H-CC-5-45,89647,,51.533320,-115.216059,,Visible,
BU,H-CC-32-9,89648,,59.232270,-118.635491,,Visible,
BU,H-CC-3-20,89650,,49.983860,-114.424727,,Visible,
BU,H-CC-3-2,89651,,49.896320,-114.489806,,Visible,
BU,H-CC-31-52,89652,,57.874890,-115.534970,,Visible,
BU,H-CC-31-26,89653,,57.862800,-115.527645,,Visible,
BU,H-CC-30-9,89655,,58.284800,-119.362516,,Visible,
BU,H-CC-29-46,89656,,56.859990,-114.622836,,Visible,
BU,H-CC-2-58,89658,,49.497590,-114.402331,,Visible,
BU,H-CC-22-35,89659,,56.302950,-116.712293,,Visible,
BU,H-CC-22-33,89660,,56.300290,-116.730363,,Visible,
BU,H-CC-21-38,89661,,55.798500,-119.796833,,Visible,
BU,H-CC-2-13,89662,,49.416400,-114.300763,,Visible,
BU,H-RS-9-38,89915,,53.456690,-115.941740,,Visible,
BU,H-RS-12-9,89920,,54.441050,-119.586450,,Visible,
BU,H-RS-12-7,89921,,54.440480,-119.575347,,Visible,
BU,H-RS-2-48,89922,,49.489340,-114.402420,,Visible,
BU,H-RS-12-1,89926,,54.435880,-119.570248,,Visible,
BU,H-N15-30-43,89944,,58.402680,-119.439220,,Visible,
BU,H-N10-3-54,89948,,50.045990,-114.563700,,Visible,
BU,H-CC-9-6,89957,,53.410540,-116.077583,,Visible,
BU,H-CC-32-54,89958,,59.253970,-118.505721,,Visible,
BU,H-CC-30-24,89959,,58.315000,-119.623737,,Visible,
BU,H-CC-12-11,89960,,54.443380,-119.588830,,Visible,
BU,H-RS-32-34,98832,,59.246080,-118.511848,,Visible,
BU,H-CC-10-45,98834,,53.733920,-118.324600,,Visible,
BU,H-CC-10-10,98844,,53.666220,-118.217980,,Visible,
BU,H-RS-10-2,98849,,53.662440,-118.212240,,Visible,
BU,H-CC-10-1,98865,,53.662050,-118.218940,,Visible,
BU,H-RS-5-17,98866,,51.493050,-115.189769,,Visible,
BU,H-RS-22-30,98872,,56.297780,-116.739031,,Visible,
BU,H-RS-6-45,98879,,52.181040,-115.338727,,Visible,
BU,H-CC-10-17,98880,,53.671840,-118.209730,,Visible,
BU,H-CC-32-36,98888,,59.247480,-118.504749,,Visible,
BU,H-CC-21-30,98892,,55.786890,-119.705610,,Visible,
BU,H-CC-10-14,98913,,53.667820,-118.209400,,Visible,
BU,H-CC-29-27,98915,,56.780310,-114.833140,,Visible,
BU,H-CC-10-37,98925,,53.730830,-118.329940,,Visible,
BU,H-RS-10-16,98931,,53.669370,-118.215690,,Visible,
BU,H-CC-6-6,98953,,52.139790,-115.352099,,Visible,
BU,H-CC-26-15,220819,,55.928930,-110.875310,,Visible,
BU,H-STUMP-1-8,307092,,53.713307,-117.649681,,Visible,
BU,H-STUMP-1-3,307093,,52.924793,-116.428070,,Visible,
BU,H-RS-1-34,307094,,54.468710,-116.382530,,Visible,
BU,H-RS-1-43,307095,,54.444013,-116.383749,,Visible,
BU,H-RS-1-16N,307096,,53.716225,-117.649502,,Visible,
BU,H-RS-1-107,307097,,54.412465,-116.366526,,Visible,
BU,H-CC-95N,307098,,52.556060,-116.235180,,Visible,
BU,H-CC-1-125,307099,,52.749490,-116.071100,,Visible,
BU,H-CC-1-48,307100,,54.464858,-116.383657,,Visible,
BU,H-CC-1-118N,307101,,53.436544,-117.370703,,Visible,
BU,H22-RS-76,307103,,54.877250,-118.662359,,Visible,
BU,H22-CC-257,307104,,58.629800,-118.922460,,Visible,
BU,H22-RS-66,307105,,54.951100,-118.601990,,Visible,
BU,H22-CC-114,307106,,54.646460,-119.801110,,Visible,
BU,H-STUMP-1-7,307513,,53.727618,-117.608751,,Visible,
BU,H-STUMP-1-6,307514,,53.385759,-116.391593,,Visible,
BU,H-STUMP-1-5,307515,,54.414640,-116.358990,,Visible,
BU,H-STUMP-1-4,307516,,53.439613,-117.363357,,Visible,
BU,H-STUMP-1-2,307517,,53.118530,-117.048680,,Visible,
BU,H-RS-1-98,307518,,52.608807,-115.150415,,Visible,
BU,H-RS-1-97,307519,,52.619903,-115.177396,,Visible,
BU,H-RS-1-93N,307520,,52.557136,-116.240306,,Visible,
BU,H-STUMP-1-1,307521,,52.608410,-116.230683,,Visible,
BU,H-RS-1-91N,307522,,52.558979,-116.236849,,Visible,
BU,H-RS-1-86N,307523,,52.924670,-116.377874,,Visible,
BU,H-RS-1-84N,307524,,52.919421,-116.384319,,Visible,
BU,H-RS-1-81N,307525,,52.918237,-116.444953,,Visible,
BU,H-RS-1-77N,307526,,53.385230,-116.384770,,Visible,
BU,H-RS-1-80N,307527,,52.925770,-116.422120,,Visible,
BU,H-RS-1-76N,307528,,53.469480,-116.522500,,Visible,
BU,H-RS-1-70N,307529,,53.504441,-116.507140,,Visible,
BU,H-RS-1-71,307530,,53.390500,-116.356820,,Visible,
BU,H-RS-1-68N,307531,,53.501330,-116.505585,,Visible,
BU,H-RS-1-66,307532,,53.490616,-116.480982,,Visible,
BU,H-RS-1-63N,307533,,53.496438,-116.463015,,Visible,
BU,H-RS-1-64,307534,,53.500485,-116.472244,,Visible,
BU,H-RS-1-61,307535,,53.231960,-116.936745,,Visible,
BU,H-RS-1-59N,307537,,53.227299,-116.913697,,Visible,
BU,H-RS-1-49,307538,,53.128793,-117.075481,,Visible,
BU,H-RS-1-55N,307539,,53.112480,-117.031476,,Visible,
BU,H-RS-1-58N,307540,,53.229932,-116.931810,,Visible,
BU,H-RS-1-53N,307541,,53.122321,-117.049177,,Visible,
BU,H-RS-1-54N,307542,,53.120750,-117.055820,,Visible,
BU,H-RS-1-45N,307543,,54.483053,-116.331779,,Visible,
BU,H-RS-1-41,307544,,54.454490,-116.396530,,Visible,
BU,H-RS-1-39N,307545,,54.483720,-116.327390,,Visible,
BU,H-RS-1-47N,307546,,54.491485,-116.329728,,Visible,
BU,H-RS-1-37N,307547,,54.478890,-116.352340,,Visible,
BU,H-RS-1-27N,307548,,53.723694,-117.618708,,Visible,
BU,H-RS-1-36N,307549,,54.479560,-116.360395,,Visible,
BU,H-RS-1-32N,307550,,52.929090,-116.413000,,Visible,
BU,H-RS-1-28N,307551,,53.722430,-117.625854,,Visible,
BU,H-RS-1-31N,307552,,52.927161,-116.404785,,Visible,
BU,H-RS-1-127,307553,,52.765150,-116.081200,,Visible,
BU,H-RS-1-19N,307554,,53.726613,-117.607871,,Visible,
BU,H-RS-1-123,307555,,52.752602,-116.090025,,Visible,
BU,H-RS-1-20N,307556,,53.711311,-117.651396,,Visible,
BU,H-RS-1-124,307557,,52.753629,-116.077268,,Visible,
BU,H-RS-1-121,307558,,52.761140,-116.110529,,Visible,
BU,H-RS-1-116,307559,,53.437048,-117.459475,,Visible,
BU,H-RS-1-105,307560,,52.604922,-115.142002,,Visible,
BU,H-RS-1-114,307561,,53.430573,-117.457241,,Visible,
BU,H-RS-1-106,307562,,52.614517,-115.150314,,Visible,
BU,H-RS-1-100,307563,,52.624480,-115.184130,,Visible,
BU,H-CC-1-99,307565,,52.625697,-115.179067,,Visible,
BU,H-CC-1-92N,307566,,52.608466,-116.232212,,Visible,
BU,H-CC-1-83N,307567,,52.931080,-116.444070,,Visible,
BU,H-CC-1-72,307570,,53.389464,-116.351738,,Visible,
BU,H-CC-1-69N,307572,,53.497250,-116.494070,,Visible,
BU,H-CC-1-44N,307573,,54.481500,-116.328350,,Visible,
BU,H-CC-1-52N,307574,,53.119790,-117.040942,,Visible,
BU,H-CC-1-67,307575,,53.491390,-116.473080,,Visible,
BU,H-CC-1-56N,307576,,53.108510,-117.029460,,Visible,
BU,H-CC-1-65N,307577,,53.498579,-116.467373,,Visible,
BU,H-CC-1-42N,307578,,54.448984,-116.383643,,Visible,
BU,H-CC-1-38N,307579,,54.477460,-116.348700,,Visible,
BU,H-CC-1-33N,307580,,52.906570,-116.449630,,Visible,
BU,H-CC-1-40,307581,,54.457210,-116.399980,,Visible,
BU,H-CC-1-35N,307582,,54.481618,-116.357792,,Visible,
BU,H-CC-1-21N,307583,,53.725137,-117.611086,,Visible,
BU,H-CC-1-26,307584,,53.724826,-117.631014,,Visible,
BU,H-CC-1-122,307585,,52.761806,-116.098022,,Visible,
BU,H-CC-1-17N,307587,,53.715232,-117.653445,,Visible,
BU,H-CC-1-108N,307588,,54.415680,-116.361990,,Visible,
BU,H-CC-1-101,307589,,52.621107,-115.168551,,Visible,
BU,H-CC-1-102,307590,,52.617102,-115.161641,,Visible,
BU,H-CC-1-115N,307591,,53.430128,-117.467584,,Visible,
BU,H-CC-1-104,307592,,52.618950,-115.155674,,Visible,
BU,P-P15-3N,308609,,55.813932,-110.675830,,Visible,
BU,P-P15-2260,308611,,55.835674,-110.723256,,Visible,
BU,H22-RS-82,308679,,54.902149,-118.727391,,Visible,
BU,H22-RS-84,308680,,54.903249,-118.709331,,Visible,
BU,H22-RS-79,308681,,54.956241,-118.678482,,Visible,
BU,H22-RS-75,308682,,54.910880,-118.641626,,Visible,
BU,H22-RS-73,308683,,54.908180,-118.643392,,Visible,
BU,H22-RS-71,308684,,54.921824,-118.632042,,Visible,
BU,H22-RS-70,308685,,54.919879,-118.635684,,Visible,
BU,H22-RS-65,308686,,54.951640,-118.612460,,Visible,
BU,H22-RS-319,308687,,57.416890,-118.468530,,Visible,
BU,H22-RS-316,308688,,57.337833,-118.368251,,Visible,
BU,H22-RS-3,308689,,59.235857,-118.527600,,Visible,
BU,H22-RS-31,308690,,56.227320,-119.066225,,Visible,
BU,H22-RS-29,308691,,56.229014,-119.084223,,Visible,
BU,H22-RS-28,308692,,56.228655,-119.059030,,Visible,
BU,H22-RS-279,308693,,58.562830,-118.422022,,Visible,
BU,H22-RS-276,308694,,58.556140,-118.385612,,Visible,
BU,H22-RS-274,308695,,58.561479,-118.405779,,Visible,
BU,H22-RS-272,308696,,58.556385,-118.411398,,Visible,
BU,H22-RS-27,308697,,56.240223,-119.092150,,Visible,
BU,H22-RS-273,308698,,58.566342,-118.417069,,Visible,
BU,H22-RS-259,308699,,58.615343,-118.919293,,Visible,
BU,H22-RS-258,308700,,58.632620,-118.921110,,Visible,
BU,H22-RS-25,308701,,56.241171,-119.086170,,Visible,
BU,H22-RS-130,308702,,54.561360,-119.775140,,Visible,
BU,H22-RS-255,308703,,58.622810,-118.922841,,Visible,
BU,H22-RS-127,308704,,54.562210,-119.749710,,Visible,
BU,H22-RS-126,308705,,54.556975,-119.730296,,Visible,
BU,H22-RS-124,308706,,54.556637,-119.736553,,Visible,
BU,H22-RS-122,308707,,54.544160,-119.739830,,Visible,
BU,H22-RS-120,308708,,54.646048,-119.826245,,Visible,
BU,H22-RS-111,308709,,54.646838,-119.796136,,Visible,
BU,H22-RS-118,308710,,54.653460,-119.820060,,Visible,
BU,H22-CC-85,308711,,54.900173,-118.708697,,Visible,
BU,H22-RS-1,308712,,59.233299,-118.518184,,Visible,
BU,H22-RS-12,308713,,58.600744,-118.856154,,Visible,
BU,H22-CC-80,308714,,54.956262,-118.699555,,Visible,
BU,H22-CC-72,308715,,54.919079,-118.645805,,Visible,
BU,H22-CC-77,308716,,54.874380,-118.665182,,Visible,
BU,H22-CC-78,308717,,54.957926,-118.686150,,Visible,
BU,H22-CC-83,308718,,54.900996,-118.722691,,Visible,
BU,H22-CC-67,308719,,54.950011,-118.606243,,Visible,
BU,H22-CC-4,308720,,59.235857,-118.532852,,Visible,
BU,H22-CC-321,308721,,57.412799,-118.468809,,Visible,
BU,H22-CC-278,308722,,58.562300,-118.428260,,Visible,
BU,H22-CC-30,308723,,56.224165,-119.083515,,Visible,
BU,H22-CC-277,308724,,58.561040,-118.392400,,Visible,
BU,H22-CC-26,308725,,56.237211,-119.091618,,Visible,
BU,H22-CC-270,308726,,59.260040,-118.668368,,Visible,
BU,H22-CC-269,308727,,59.256703,-118.665268,,Visible,
BU,H22-CC-260,308728,,58.618800,-118.915990,,Visible,
BU,H22-CC-15,308729,,58.597009,-118.865571,,Visible,
BU,H22-CC-256,308730,,58.626924,-118.917793,,Visible,
BU,H22-CC-131,308731,,54.559660,-119.770600,,Visible,
BU,H22-CC-13,308732,,58.593990,-118.853180,,Visible,
BU,H22-CC-129,308733,,54.561676,-119.759242,,Visible,
BU,H22-CC-121,308734,,54.649600,-119.828290,,Visible,
BU,H22-CC-123,308735,,54.538070,-119.744370,,Visible,
BU,H22-CC-125,308736,,54.553336,-119.737520,,Visible,
BU,H22-CC-119,308737,,54.650720,-119.823760,,Visible,
BU,H22-CC-128,308738,,54.557990,-119.752030,,Visible,
BU,H22-CC-10,308739,,58.594150,-118.858680,,Visible,
BU,H22-CC-11,308740,,58.597470,-118.859963,,Visible,
BU,H-CC-1-57N,308744,,53.227410,-116.918580,,Visible,
BU,H-RS-1-103,308747,,52.612820,-115.154755,,Visible,
BU,H22-RS-63,308765,,54.958699,-118.619119,,Visible,
BU,H22-CC-0,308770,,59.237829,-118.519178,,Visible,
BU,H-CC-1-50,308777,,53.126782,-117.073054,,Visible,
BU,H22-CC-113,311419,,54.644332,-119.805390,,Visible,
BU,H22-RS-267,311907,,59.256135,-118.674142,,Visible,
BU,H22-RS-24N,311965,,56.236948,-119.140487,,Visible,
BU,H22-RS-18,312507,,57.415550,-118.474765,,Visible,
BU,H22-CC-74,312508,,54.906270,-118.638730,,Visible,
BU,H22-RS-271,312510,,59.260237,-118.674989,,Visible,
BU,H22-CC-23,312512,,56.233167,-119.140203,,Visible,
BU,H22-CC-275,312514,,58.556641,-118.400840,,Visible,
BU,H22-RS-14N,331526,,58.594220,-118.867870,,Visible,
BU,H-RS-12-8,448637,,,,,Visible,
BU,H23-RS-5,480579,,51.382470,-114.999370,,Visible,
BU,H23-RS-4,480580,,51.446020,-115.043870,,Visible,
BU,H23-RS-3,480581,,51.456380,-114.992530,,Visible,
BU,H23-RS-234,480582,,51.659980,-115.273750,,Visible,
BU,H23-RS-237,480583,,51.660649,-115.363501,,Visible,
BU,H23-RS-233,480584,,51.659585,-115.278929,,Visible,
BU,H23-RS-231,480585,,51.675510,-115.329920,,Visible,
BU,H23-RS-230,480586,,51.389847,-115.009015,,Visible,
BU,H23-RS-232,480587,,51.661710,-115.284000,,Visible,
BU,H23-RS-228,480588,,51.391998,-115.004407,,Visible,
BU,H23-RS-227,480589,,51.942590,-115.178910,,Visible,
BU,H23-RS-224,480590,,55.605312,-114.989099,,Visible,
BU,H23-RS-222,480591,,51.549335,-115.016144,,Visible,
BU,H23-RS-221,480592,,51.897395,-115.008394,,Visible,
BU,H23-RS-216,480593,,55.663370,-113.433560,,Visible,
BU,H23-RS-215,480594,,51.653462,-115.183491,,Visible,
BU,H23-RS-204,480595,,55.211060,-113.478590,,Visible,
BU,H23-RS-209,480596,,51.880253,-115.111987,,Visible,
BU,H23-RS-212,480597,,51.353480,-114.989350,,Visible,
BU,H23-RS-202,480598,,55.207040,-113.474350,,Visible,
BU,H23-RS-185,480599,,55.245250,-113.577400,,Visible,
BU,H23-RS-187,480600,,51.563290,-115.014700,,Visible,
BU,H23-RS-198,480601,,55.111930,-115.230830,,Visible,
BU,H23-RS-200,480602,,51.522720,-115.240440,,Visible,
BU,H23-RS-184,480603,,51.680104,-115.332787,,Visible,
BU,H23-RS-182,480604,,54.699290,-114.890700,,Visible,
BU,H23-RS-180,480605,,51.702962,-114.900119,,Visible,
BU,H23-RS-173,480606,,51.667130,-115.321690,,Visible,
BU,H23-RS-177,480607,,51.678160,-115.306235,,Visible,
BU,H23-RS-175,480608,,51.673780,-115.315415,,Visible,
BU,H23-RS-172,480609,,51.695300,-115.356990,,Visible,
BU,H23-RS-167,480610,,51.450164,-114.940259,,Visible,
BU,H23-RS-169,480611,,51.686126,-115.347580,,Visible,
BU,H23-RS-162,480612,,51.943830,-115.194390,,Visible,
BU,H23-RS-165,480613,,51.550948,-115.026998,,Visible,
BU,H23-RS-159,480614,,51.962520,-115.221272,,Visible,
BU,H23-RS-156,480615,,51.255497,-114.893407,,Visible,
BU,H23-RS-157,480616,,51.942020,-115.183040,,Visible,
BU,H23-RS-153,480617,,51.364480,-114.977109,,Visible,
BU,H23-RS-154,480618,,51.261520,-114.890790,,Visible,
BU,H23-RS-151,480619,,51.367289,-114.975044,,Visible,
BU,H23-RS-143,480620,,51.714720,-115.335440,,Visible,
BU,H23-RS-140,480621,,58.666000,-117.428270,,Visible,
BU,H23-RS-141,480622,,51.690790,-115.297895,,Visible,
BU,H23-RS-147,480623,,51.596879,-115.151488,,Visible,
BU,H23-RS-138,480624,,58.674240,-117.408970,,Visible,
BU,H23-RS-137,480625,,51.658351,-115.359815,,Visible,
BU,H23-RS-122,480626,,55.325717,-115.086867,,Visible,
BU,H23-RS-129,480627,,51.470990,-115.210730,,Visible,
BU,H23-RS-118,480628,,51.457700,-115.019880,,Visible,
BU,H23-RS-116,480629,,51.451670,-114.960040,,Visible,
BU,H23-RS-117,480630,,51.451360,-114.992910,,Visible,
BU,H23-RS-112,480631,,51.452280,-114.945710,,Visible,
BU,H23-RS-110,480632,,51.652240,-115.297210,,Visible,
BU,H23-RS-109,480633,,51.496271,-115.083990,,Visible,
BU,H23-CC-89,480634,,51.374790,-114.993930,,Visible,
