,location,earliest,latest,earliestCalendar,latestCalendar
622,S-E0-M150,167,172,2023-06-16,2023-06-21
623,S-E0-M195,160,164,2023-06-09,2023-06-13
624,S-E0-M207,152,156,2023-06-01,2023-06-05
625,S-E0-M209,152,156,2023-06-01,2023-06-05
626,S-E0-M210,152,156,2023-06-01,2023-06-05
627,S-E0-M220,145,149,2023-05-25,2023-05-29
628,S-E0-M224,146,150,2023-05-26,2023-05-30
629,S-E0-M226,144,149,2023-05-24,2023-05-29
630,S-E0-M230,145,149,2023-05-25,2023-05-29
631,S-E0-M231,145,149,2023-05-25,2023-05-29
632,S-E0-M242,168,179,2023-06-17,2023-06-28
633,S-E0-M243,168,179,2023-06-17,2023-06-28
634,S-E0-M400,175,180,2023-06-24,2023-06-29
635,S-E0-M501,146,151,2023-05-26,2023-05-31
636,S-E0-M504,147,151,2023-05-27,2023-05-31
637,S-E0-M505,147,151,2023-05-27,2023-05-31
638,S-E0-M508,154,159,2023-06-03,2023-06-08
639,S-E0-M514,173,177,2023-06-22,2023-06-26
640,S-E0-M518,173,174,2023-06-22,2023-06-23
641,S-E0-M519,173,177,2023-06-22,2023-06-26
642,S-E0-M564,152,156,2023-06-01,2023-06-05
643,S-E0-M568,NA,NA,NA,NA
644,S-E0-M569,170,179,2023-06-19,2023-06-28
645,S-E0-M578,160,164,2023-06-09,2023-06-13
646,S-P10-551,145,149,2023-05-25,2023-05-29
647,S-P10-578,172,176,2023-06-21,2023-06-25
648,S-P15-11,179,183,2023-06-28,2023-07-02
649,S-P15-551,145,149,2023-05-25,2023-05-29
650,S-P15-578,172,176,2023-06-21,2023-06-25
651,S-P15-97,144,150,2023-05-24,2023-05-30
652,S-P5-551,145,149,2023-05-25,2023-05-29
653,S-P5-578,172,176,2023-06-21,2023-06-25
654,S-P5-97,144,150,2023-05-24,2023-05-30
655,ST-430-1-NE,25,202,2023-01-25,2023-07-21
656,ST-430-1-NW,25,202,2023-01-25,2023-07-21
657,ST-430-1-SE,25,202,2023-01-25,2023-07-21
658,ST-430-1-SW,25,202,2023-01-25,2023-07-21
659,ST-430-2-NE,25,206,2023-01-25,2023-07-25
660,ST-430-2-NW,25,206,2023-01-25,2023-07-25
661,ST-430-2-SE,25,206,2023-01-25,2023-07-25
662,ST-430-2-SW,25,206,2023-01-25,2023-07-25
663,ST-430-3-NE,27,203,2023-01-27,2023-07-22
664,ST-430-3-NW,27,203,2023-01-27,2023-07-22
665,ST-430-3-SE,27,194,2023-01-27,2023-07-13
666,ST-430-3-SW,27,203,2023-01-27,2023-07-22
667,ST-430-4-NE,27,207,2023-01-27,2023-07-26
668,ST-430-4-NW,27,207,2023-01-27,2023-07-26
669,ST-430-4-SE,27,207,2023-01-27,2023-07-26
670,ST-430-4-SW,27,207,2023-01-27,2023-07-26
671,UP-1-1-OG,168,173,2023-06-17,2023-06-22
672,UP-10-67-CC,161,165,2023-06-10,2023-06-14
673,UP-10-67-OG,161,165,2023-06-10,2023-06-14
674,UP-10-67-UP,161,165,2023-06-10,2023-06-14
675,UP-10-68-CC,161,165,2023-06-10,2023-06-14
676,UP-10-68-OG,161,165,2023-06-10,2023-06-14
677,UP-10-68-UP,161,165,2023-06-10,2023-06-14
678,UP-10-69-CC,161,165,2023-06-10,2023-06-14
679,UP-10-69-OG,161,166,2023-06-10,2023-06-15
680,UP-10-69-UP,161,178,2023-06-10,2023-06-27
681,UP-10-70-CC,161,165,2023-06-10,2023-06-14
682,UP-10-70-OG,161,165,2023-06-10,2023-06-14
683,UP-10-70-UP2,161,165,2023-06-10,2023-06-14
684,UP-10-71-CC,161,165,2023-06-10,2023-06-14
685,UP-10-71-OG,161,165,2023-06-10,2023-06-14
686,UP-10-71-UP,161,165,2023-06-10,2023-06-14
687,UP-10-72-CC,161,165,2023-06-10,2023-06-14
688,UP-10-72-OG,161,165,2023-06-10,2023-06-14
689,UP-10-72-UP,161,165,2023-06-10,2023-06-14
690,UP-15-90-CC,159,163,2023-06-08,2023-06-12
691,UP-15-90-OG,159,163,2023-06-08,2023-06-12
692,UP-15-90-UP,159,163,2023-06-08,2023-06-12
693,UP-2-100-CC,177,180,2023-06-26,2023-06-29
694,UP-2-100-OG,177,180,2023-06-26,2023-06-29
695,UP-2-100-UP,177,180,2023-06-26,2023-06-29
696,UP-2-14-CC,177,180,2023-06-26,2023-06-29
697,UP-2-14-OG,177,180,2023-06-26,2023-06-29
698,UP-2-14-UP,177,180,2023-06-26,2023-06-29
699,UP-2-17-CC,174,178,2023-06-23,2023-06-27
700,UP-2-17-OG,174,178,2023-06-23,2023-06-27
701,UP-2-17-UP,174,178,2023-06-23,2023-06-27
702,UP-2-34-CC,174,178,2023-06-23,2023-06-27
703,UP-2-34-OG,174,178,2023-06-23,2023-06-27
704,UP-2-34-UP,174,178,2023-06-23,2023-06-27
705,UP-2-97-CC,174,178,2023-06-23,2023-06-27
706,UP-2-97-UP,174,178,2023-06-23,2023-06-27
707,UP-2-99-CC,177,180,2023-06-26,2023-06-29
708,UP-2-99-OG,177,180,2023-06-26,2023-06-29
709,UP-2-99-UP,177,180,2023-06-26,2023-06-29
710,UP-20-106-CC,146,150,2023-05-26,2023-05-30
711,UP-20-106-OG,146,152,2023-05-26,2023-06-01
712,UP-20-106-UP,146,150,2023-05-26,2023-05-30
713,UP-8-44-CC,175,180,2023-06-24,2023-06-29
714,UP-8-44-OG,175,180,2023-06-24,2023-06-29
715,UP-8-44-UP,175,180,2023-06-24,2023-06-29
716,UP-8-45-CC,175,180,2023-06-24,2023-06-29
717,UP-8-45-OG,175,180,2023-06-24,2023-06-29
718,UP-8-45-UP,175,180,2023-06-24,2023-06-29
719,UP-8-47-CC,175,180,2023-06-24,2023-06-29
720,UP-8-47-OG,175,180,2023-06-24,2023-06-29
721,UP-8-47-UP,175,180,2023-06-24,2023-06-29
722,UP-8-48-CC,175,180,2023-06-24,2023-06-29
723,UP-8-48-OG,175,180,2023-06-24,2023-06-29
724,UP-8-48-UP,175,180,2023-06-24,2023-06-29
725,UP-8-49-CC,175,180,2023-06-24,2023-06-29
726,UP-8-49-OG,175,180,2023-06-24,2023-06-29
727,UP-8-49-UP,175,180,2023-06-24,2023-06-29
728,UP-8-51-CC,169,173,2023-06-18,2023-06-22
729,UP-8-51-OG,169,173,2023-06-18,2023-06-22
730,UP-8-51-UP,169,173,2023-06-18,2023-06-22
731,UP-8-53-CC,169,173,2023-06-18,2023-06-22
732,UP-8-53-OG,169,173,2023-06-18,2023-06-22
733,UP-8-53-UP,169,173,2023-06-18,2023-06-22
734,UP-8-54-CC,177,181,2023-06-26,2023-06-30
735,UP-8-54-OG,177,181,2023-06-26,2023-06-30
736,UP-8-54-UP,177,181,2023-06-26,2023-06-30
737,UP-8-80-CC,169,173,2023-06-18,2023-06-22
738,UP-8-80-OG,169,173,2023-06-18,2023-06-22
739,UP-8-80-UP,169,173,2023-06-18,2023-06-22
740,UP-9-55-CC,159,163,2023-06-08,2023-06-12
741,UP-9-55-OG2,159,163,2023-06-08,2023-06-12
742,UP-9-55-UP,159,163,2023-06-08,2023-06-12
743,UP-9-56-CC,159,163,2023-06-08,2023-06-12
744,UP-9-56-OG2,159,163,2023-06-08,2023-06-12
745,UP-9-56-UP,159,163,2023-06-08,2023-06-12
746,UP-9-57-CC,159,163,2023-06-08,2023-06-12
747,UP-9-57-OG,159,163,2023-06-08,2023-06-12
748,UP-9-57-UP,159,163,2023-06-08,2023-06-12
749,UP-9-59-CC,159,163,2023-06-08,2023-06-12
750,UP-9-59-UP,159,163,2023-06-08,2023-06-12
751,UP-9-65-CC,159,165,2023-06-08,2023-06-14
752,UP-9-65-OG,159,165,2023-06-08,2023-06-14
753,UP-9-65-UP,159,165,2023-06-08,2023-06-14
754,UP-9-73-CC,159,163,2023-06-08,2023-06-12
755,UP-9-73-OG,159,163,2023-06-08,2023-06-12
756,UP-9-73-UP,159,163,2023-06-08,2023-06-12
757,UP-9-76-CC,159,163,2023-06-08,2023-06-12
758,UP-9-76-OG,159,163,2023-06-08,2023-06-12
759,UP-9-76-UP,159,163,2023-06-08,2023-06-12
760,UP-9-77-CC,159,163,2023-06-08,2023-06-12
761,UP-9-77-OG,159,163,2023-06-08,2023-06-12
762,UP-9-77-UP,159,163,2023-06-08,2023-06-12
763,W-PD-M1,171,185,2023-06-20,2023-07-04
764,W-PD-M100,145,149,2023-05-25,2023-05-29
765,W-PD-M102,146,150,2023-05-26,2023-05-30
766,W-PD-M103,146,150,2023-05-26,2023-05-30
767,W-PD-M106,145,149,2023-05-25,2023-05-29
768,W-PD-M119,146,150,2023-05-26,2023-05-30
769,W-PD-M121,168,172,2023-06-17,2023-06-21
770,W-PD-M140,180,184,2023-06-29,2023-07-03
771,W-PD-M142,170,174,2023-06-19,2023-06-23
772,W-PD-M144,152,156,2023-06-01,2023-06-05
773,W-PD-M149,153,157,2023-06-02,2023-06-06
774,W-PD-M16,144,148,2023-05-24,2023-05-28
775,W-PD-M163,168,172,2023-06-17,2023-06-21
776,W-PD-M17,144,148,2023-05-24,2023-05-28
777,W-PD-M18,151,156,2023-05-31,2023-06-05
778,W-PD-M19,152,156,2023-06-01,2023-06-05
779,W-PD-M22,153,157,2023-06-02,2023-06-06
780,W-PD-M23,153,157,2023-06-02,2023-06-06
781,W-PD-M24,153,157,2023-06-02,2023-06-06
782,W-PD-M32,144,149,2023-05-24,2023-05-29
783,W-PD-M38,161,165,2023-06-10,2023-06-14
784,W-PD-M4,179,183,2023-06-28,2023-07-02
785,W-PD-M5,179,183,2023-06-28,2023-07-02
786,W-PD-M500,144,149,2023-05-24,2023-05-29
787,W-PD-M501,144,149,2023-05-24,2023-05-29
788,W-PD-M503,145,149,2023-05-25,2023-05-29
789,W-PD-M504,146,151,2023-05-26,2023-05-31
790,W-PD-M505,146,151,2023-05-26,2023-05-31
791,W-PD-M506,147,151,2023-05-27,2023-05-31
792,W-PD-M507,147,151,2023-05-27,2023-05-31
793,W-PD-M508,147,151,2023-05-27,2023-05-31
794,W-PD-M510,153,157,2023-06-02,2023-06-06
795,W-PD-M514,155,159,2023-06-04,2023-06-08
796,W-PD-M515,155,159,2023-06-04,2023-06-08
797,W-PD-M519,161,165,2023-06-10,2023-06-14
798,W-PD-M521,161,165,2023-06-10,2023-06-14
799,W-PD-M524,161,165,2023-06-10,2023-06-14
800,W-PD-M525,179,183,2023-06-28,2023-07-02
801,W-PD-M571,153,157,2023-06-02,2023-06-06
802,W-PD-M58,160,164,2023-06-09,2023-06-13
803,W-PD-M59,170,179,2023-06-19,2023-06-28
804,W-PD-M63,158,164,2023-06-07,2023-06-13
805,W-PD-M67,153,159,2023-06-02,2023-06-08
806,W-PD-M677,177,182,2023-06-26,2023-07-01
807,W-PD-M678,177,182,2023-06-26,2023-07-01
808,W-PD-M69,160,164,2023-06-09,2023-06-13
809,W-PD-M77,160,164,2023-06-09,2023-06-13
810,W-PD-M89,153,157,2023-06-02,2023-06-06
811,W-PD-M900,171,177,2023-06-20,2023-06-26
812,W-PD-M913,171,177,2023-06-20,2023-06-26
