organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,aru_task_status,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-NE,483446,2023-05-21 05:55:00,893131,None,865636,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,59.28,60.00,0.71,3.97kHz,5.20kHz,3600140,1,Song,1,,f,1,Leonard Patterson,2692,,-27.39,-28.2,2,0.03997,-0.002594,0.085114,-21.4,-46.72,-59.17,2,0,-0.015442,0.015839,-36.01,-30.18,-32.04,2,0.025478,-0.050232,0.101654,-19.86,-42.8,-54.45,2,0,-0.02298,0.022491,-32.77,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=865636,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/afa30b27df7d48b2888593137a2ab04d.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/7731e749b1b24aadbb5d473c33b38561.flac
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-NE,483446,2023-05-24 05:51:00,891422,None,864104,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,14.55,60.00,1.96,3.14kHz,4.02kHz,3600141,1,Song,1,,f,1,Leonard Patterson,2692,,-18.86,-28.19,2,0.040261,-0.480682,0.56601,-4.94,-37.25,-56.48,2,-0.000001,-0.05069,0.050781,-25.89,-23.32,-31.99,2,0.025854,-0.203735,0.30777,-10.24,-39.12,-54.1,2,0,-0.041229,0.041748,-27.59,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=864104,https://wildtrax-aru.s3.us-west-2.amazonaws.com/c35413fc-8b04-4040-8ade-f0ee8e735003/959b954726ad41b6b33034c33d24f98d.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/c35413fc-8b04-4040-8ade-f0ee8e735003/19eb6bf9238e4afaaf40e34b3b236585.flac
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-NE,483446,2023-05-24 05:51:00,891422,None,864104,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,27.18,60.00,1.75,2.68kHz,3.66kHz,3626806,2,Song,1,,f,2,Leonard Patterson,2692,,-20.97,-27.74,2,0.040382,-0.272766,0.377563,-8.46,-43.93,-61.35,2,0,-0.020477,0.02066,-33.7,-15.14,-29.77,2,0.025885,-0.634521,0.703888,-3.05,-40.1,-59.91,2,0,-0.035553,0.035553,-28.98,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=864104,https://wildtrax-aru.s3.us-west-2.amazonaws.com/c35413fc-8b04-4040-8ade-f0ee8e735003/5c2566da13f74a828a6506829141b048.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/c35413fc-8b04-4040-8ade-f0ee8e735003/10bc69da03054dab819d23371201b0d8.flac
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-NE,483446,2023-05-24 05:51:00,891422,None,864104,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,28.83,60.00,0.94,2.68kHz,5.10kHz,3626796,2,Song,1,,f,2,Leonard Patterson,2692,,-26.75,-28.32,2,0.040427,-0.034119,0.111694,-19.04,-37.42,-52.23,2,-0.000001,-0.043182,0.04483,-26.97,-21.94,-31.53,2,0.025934,-0.26532,0.309204,-10.2,-28.6,-43.66,2,0.000001,-0.143066,0.145111,-16.77,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=864104,https://wildtrax-aru.s3.us-west-2.amazonaws.com/c35413fc-8b04-4040-8ade-f0ee8e735003/12344d3c06e14b4896f5148aa5446df3.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/c35413fc-8b04-4040-8ade-f0ee8e735003/6ea05d71fde54183b5087e8d5ca3a98e.flac
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-NE,483446,2023-05-24 05:51:00,891422,None,864104,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,42.76,60.00,1.64,2.68kHz,3.71kHz,3626817,2,Song,1,,f,1,Leonard Patterson,2692,,-22.95,-28.58,2,0.040304,-0.273743,0.348053,-9.17,-45.23,-56.57,2,0,-0.018219,0.018005,-34.79,-26.89,-32.64,2,0.02565,-0.105438,0.162415,-15.79,-48.09,-58.77,2,0,-0.015717,0.015564,-36.07,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=864104,https://wildtrax-aru.s3.us-west-2.amazonaws.com/c35413fc-8b04-4040-8ade-f0ee8e735003/24c5806b088c498e860b033b915c071f.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/c35413fc-8b04-4040-8ade-f0ee8e735003/f9685815aea64f73b968ceaa887d2216.flac
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-NE,483446,2023-05-24 05:51:00,891422,None,864104,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,44.24,60.00,0.53,3.55kHz,4.89kHz,3626819,2,Song,1,,f,1,Leonard Patterson,2692,,-27.21,-28.36,2,0.040577,0.008881,0.066284,-23.57,-48.67,-53.6,2,0,-0.011139,0.010712,-39.06,-30.27,-31.84,2,0.025923,-0.029236,0.07312,-22.72,-42.01,-45.76,2,0,-0.03125,0.030884,-30.1,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=864104,https://wildtrax-aru.s3.us-west-2.amazonaws.com/c35413fc-8b04-4040-8ade-f0ee8e735003/1856b5c13c414eec9482b979f9e60ffd.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/c35413fc-8b04-4040-8ade-f0ee8e735003/789ed7ebfbe147ddb1b0e3380b86bd34.flac
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-NE,483446,2023-05-24 05:51:00,891422,None,864104,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,52.56,60.00,2.71,2.58kHz,4.33kHz,3600165,1,Song,1,,f,2,Leonard Patterson,2692,,-21.64,-28.11,2,0.040412,-0.210175,0.282135,-10.99,-37.59,-56.15,2,0,-0.044128,0.044373,-27.06,-14.6,-31.51,2,0.025749,-0.628815,0.689087,-3.23,-27.56,-53.61,2,0,-0.14801,0.149994,-16.48,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=864104,https://wildtrax-aru.s3.us-west-2.amazonaws.com/c35413fc-8b04-4040-8ade-f0ee8e735003/c101c8b330c149c2919f6ec9500d728c.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/c35413fc-8b04-4040-8ade-f0ee8e735003/1911445f70ab43ae877b9baf9e80b883.flac
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-NE,483446,2023-05-24 05:51:00,891422,None,864104,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,56.56,60.00,1.86,2.37kHz,3.91kHz,3626820,2,Song,1,,f,2,Leonard Patterson,2692,,-24.13,-28.46,2,0.040381,-0.2388,0.310516,-10.16,-44.34,-58.17,2,0,-0.022308,0.022003,-33.03,-25.88,-32.6,2,0.025807,-0.172546,0.225098,-12.95,-43.29,-57.29,2,0,-0.02475,0.024139,-32.13,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=864104,https://wildtrax-aru.s3.us-west-2.amazonaws.com/c35413fc-8b04-4040-8ade-f0ee8e735003/6ca5ff3608d2428b8ad138c0e03667a7.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/c35413fc-8b04-4040-8ade-f0ee8e735003/1c51e715e4864c48ba26a3aef1151a57.flac
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-SE,483444,2023-05-15 06:05:00,892584,None,865172,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,0.00,60.00,1.35,2.73kHz,4.02kHz,3626955,1,Song,1,,f,1,Leonard Patterson,2692,,-17.43,-34.93,2,0.024346,-0.142822,0.188507,-14.49,-48.36,-62.75,2,0,-0.013702,0.014343,-36.87,-23.21,-34.39,2,0.019908,-0.092987,0.11673,-18.66,-50.64,-62.01,2,0,-0.010284,0.009552,-39.76,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=865172,https://wildtrax-aru.s3.us-west-2.amazonaws.com/3dabbfac-de57-4031-8e55-dd3b4874a37f/031c9e3b600845798e3444c9a9b6a6af.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/3dabbfac-de57-4031-8e55-dd3b4874a37f/7863394fb230482d92daf635a783a95d.flac
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-SE,483444,2023-05-15 06:05:00,892584,None,865172,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,3.50,60.00,4.24,3.45kHz,4.94kHz,3626956,2,Song,1,,f,1,Leonard Patterson,2692,,-17.3,-37.5,2,0.022345,-0.168091,0.189362,-14.45,-56.77,-64.91,2,0,-0.003967,0.003876,-48.03,-9.25,-33.97,2,0.022234,-0.589386,0.334412,-4.59,-56.66,-62.65,2,0,-0.005524,0.005646,-44.97,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=865172,https://wildtrax-aru.s3.us-west-2.amazonaws.com/3dabbfac-de57-4031-8e55-dd3b4874a37f/d82a905bac7d459cabf56a9cdaf40a81.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/3dabbfac-de57-4031-8e55-dd3b4874a37f/c698bf91efd849dd8f9d09a7ac0f8f2a.flac
